DATETIME,C,F
2019-08-29 18:40:01.738560,23.625,74.525
2019-08-29 18:50:01.467809,23.6875,74.6375
2019-08-29 19:00:02.212260,23.5,74.3
2019-08-29 19:10:01.986882,23.5625,74.4125
2019-08-29 19:20:01.797027,23.625,74.525
2019-08-29 19:30:01.519338,23.625,74.525
2019-08-29 19:40:02.301513,23.5625,74.4125
2019-08-29 19:50:02.019494,23.75,74.75
2019-08-29 20:00:01.760451,23.875,74.975
2019-08-29 20:10:01.536259,23.625,74.525
2019-08-29 20:20:01.373183,23.75,74.75
2019-08-29 20:30:02.147748,23.75,74.75
2019-08-29 20:40:01.948173,23.875,74.975
2019-08-29 20:50:01.743400,24.0,75.2
2019-08-29 21:00:01.519370,24.0625,75.3125
2019-08-29 21:10:02.329129,24.375,75.875
2019-08-29 21:20:02.180320,24.5,76.1
2019-08-29 21:30:01.612349,24.3125,75.7625
2019-08-29 21:40:01.446726,24.375,75.875
2019-08-29 21:50:02.201252,24.5,76.1
2019-08-29 22:00:02.209719,24.375,75.875
2019-08-29 22:10:02.215667,24.5,76.1
2019-08-29 22:20:02.175090,24.4375,75.9875
2019-08-29 22:30:02.065070,24.0625,75.3125
2019-08-29 22:40:01.886450,24.0625,75.3125
2019-08-29 22:50:01.699665,24.1875,75.5375
2019-08-29 23:00:01.479037,24.25,75.65
2019-08-29 23:10:02.285014,24.375,75.875
2019-08-29 23:20:02.113427,24.5,76.1
2019-08-29 23:30:01.833278,24.1875,75.5375
2019-08-29 23:40:01.655706,24.375,75.875
2019-08-29 23:50:01.411233,24.3125,75.7625
2019-08-30 00:00:02.130399,23.75,74.75
2019-08-30 00:10:01.945308,23.8125,74.8625
2019-08-30 00:20:01.975365,23.6875,74.6375
2019-08-30 00:30:01.799215,23.1875,73.7375
2019-08-30 00:40:01.604860,23.25,73.85
2019-08-30 00:50:01.407433,23.125,73.625
2019-08-30 01:00:02.158203,22.875,73.175
2019-08-30 01:10:01.961901,22.9375,73.2875
2019-08-30 01:20:01.828788,22.875,73.175
2019-08-30 01:30:01.563044,22.8125,73.0625
2019-08-30 01:40:01.409953,22.8125,73.0625
2019-08-30 01:50:02.146734,22.5625,72.6125
2019-08-30 02:00:01.913925,22.625,72.725
2019-08-30 02:10:01.704252,22.625,72.725
2019-08-30 02:20:01.540294,22.5625,72.6125
2019-08-30 02:30:02.318469,22.5625,72.6125
2019-08-30 02:40:02.087047,22.5625,72.6125
2019-08-30 02:50:01.877366,22.5625,72.6125
2019-08-30 03:00:01.602140,22.5,72.5
2019-08-30 03:10:01.410582,22.5,72.5
2019-08-30 03:20:02.276223,22.375,72.275
2019-08-30 03:30:02.036833,22.375,72.275
2019-08-30 03:40:01.900708,22.3125,72.1625
2019-08-30 03:50:01.683903,22.375,72.275
2019-08-30 04:00:01.416822,22.375,72.275
2019-08-30 04:10:02.267434,22.375,72.275
2019-08-30 04:20:02.113667,22.375,72.275
2019-08-30 04:30:01.839031,22.3125,72.1625
2019-08-30 04:40:01.701541,22.3125,72.1625
2019-08-30 04:50:01.465708,22.3125,72.1625
2019-08-30 05:00:02.245677,22.3125,72.1625
2019-08-30 05:10:02.010695,22.3125,72.1625
2019-08-30 05:20:01.854020,22.3125,72.1625
2019-08-30 05:30:01.587151,22.3125,72.1625
2019-08-30 05:40:01.414473,22.3125,72.1625
2019-08-30 05:50:02.181810,22.3125,72.1625
2019-08-30 06:00:01.934830,22.25,72.05
2019-08-30 06:10:01.733964,22.3125,72.1625
2019-08-30 06:20:01.621629,22.3125,72.1625
2019-08-30 06:30:01.443154,22.3125,72.1625
2019-08-30 06:40:02.255705,22.3125,72.1625
2019-08-30 06:50:02.001585,22.25,72.05
2019-08-30 07:00:01.753672,22.25,72.05
2019-08-30 07:10:01.535024,22.25,72.05
2019-08-30 07:20:02.344823,22.25,72.05
2019-08-30 07:30:02.189344,22.25,72.05
2019-08-30 07:40:01.986201,22.25,72.05
2019-08-30 07:50:01.696336,22.375,72.275
2019-08-30 08:00:01.439352,22.5,72.5
2019-08-30 08:10:02.282627,22.6875,72.8375
2019-08-30 08:20:02.117757,22.9375,73.2875
2019-08-30 08:30:01.898676,23.25,73.85
2019-08-30 08:40:01.695058,23.5,74.3
2019-08-30 08:50:01.472133,23.8125,74.8625
2019-08-30 09:00:02.228078,23.9375,75.0875
2019-08-30 09:10:02.054811,23.9375,75.0875
